#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
57 	 -1.850273e-02 	 -1.424094e-03 	 -4.257432e-02 	 1.224497e-04 	 -1.337526e-03 	 2.689371e-03 	 6.763632e-04 	 1.890772e-04 
58 	 -2.101879e-02 	 -2.993320e-03 	 -4.220268e-02 	 6.872952e-05 	 3.071783e-03 	 -2.548091e-04 	 7.176635e-04 	 1.814240e-04 
59 	 -1.853237e-02 	 -2.103977e-03 	 -4.180149e-02 	 3.190399e-05 	 -2.956663e-04 	 7.611661e-05 	 7.004884e-04 	 1.796391e-04 
60 	 -1.813641e-02 	 -1.312154e-03 	 -4.140707e-02 	 9.503028e-06 	 1.504255e-04 	 -1.056008e-03 	 6.913207e-04 	 1.590450e-04 
61 	 -1.836372e-02 	 -5.204759e-04 	 -4.102931e-02 	 8.148481e-07 	 -4.210783e-03 	 -1.068437e-03 	 6.109583e-04 	 1.389223e-04 
62 	 -1.923078e-02 	 -6.600239e-05 	 -4.067772e-02 	 -2.628494e-07 	 -4.091412e-03 	 -1.732877e-04 	 5.351137e-04 	 1.338867e-04 
63 	 -1.528318e-02 	 -1.771574e-03 	 -4.027463e-02 	 -2.837890e-05 	 -7.259327e-04 	 -6.861886e-04 	 5.150970e-04 	 1.208696e-04 
64 	 -1.637637e-02 	 -9.747117e-04 	 -3.990122e-02 	 -4.316535e-05 	 -4.399255e-03 	 -1.060097e-03 	 4.383103e-04 	 1.024170e-04 
65 	 -1.898609e-02 	 -6.512030e-04 	 -3.957945e-02 	 -5.251978e-05 	 -4.498816e-03 	 8.787972e-04 	 3.623545e-04 	 1.143613e-04 
66 	 -1.871035e-02 	 -7.675946e-04 	 -3.926325e-02 	 -6.335425e-05 	 1.369688e-03 	 -5.603962e-04 	 3.776171e-04 	 1.041377e-04 
67 	 -1.703218e-02 	 2.349097e-04 	 -3.893144e-02 	 -5.890254e-05 	 2.684316e-03 	 -4.744366e-04 	 4.120455e-04 	 9.550230e-05 
