#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
49 	 4.927947e-03 	 -1.350672e-19 	 4.431488e-03 	 -5.038870e-20 	 -3.506951e-03 	 -1.022020e-19 	 1.931347e-04 	 -1.208535e-21 
50 	 4.993647e-03 	 2.273707e-19 	 4.442731e-03 	 -4.483351e-20 	 -3.727154e-04 	 2.170158e-19 	 1.818177e-04 	 3.155952e-21 
51 	 1.584891e-03 	 4.067691e-19 	 4.386695e-03 	 -3.597856e-20 	 -4.495408e-03 	 -1.693125e-19 	 9.010744e-05 	 -2.257823e-22 
52 	 6.070265e-03 	 3.122411e-20 	 4.419071e-03 	 -3.468620e-20 	 -2.444147e-03 	 -3.959647e-19 	 4.137179e-05 	 -7.836147e-21 
53 	 7.532822e-03 	 -8.515150e-20 	 4.477821e-03 	 -3.563837e-20 	 2.162601e-03 	 1.675372e-20 	 8.139498e-05 	 -7.372187e-21 
54 	 6.232504e-03 	 2.879058e-19 	 4.510315e-03 	 -2.964682e-20 	 -5.340510e-03 	 -4.083791e-19 	 -1.901067e-05 	 -1.479824e-20 
55 	 -2.419762e-05 	 -2.025684e-19 	 4.427870e-03 	 -3.279084e-20 	 -3.734856e-04 	 -2.535015e-19 	 -2.545567e-05 	 -1.913830e-20 
56 	 1.696683e-03 	 2.164621e-19 	 4.379098e-03 	 -2.833990e-20 	 -1.129560e-03 	 -1.245097e-19 	 -4.517181e-05 	 -2.101993e-20 
57 	 1.700876e-03 	 5.559258e-19 	 4.332112e-03 	 -1.808962e-20 	 -1.416386e-03 	 -7.579353e-20 	 -6.922819e-05 	 -2.198087e-20 
58 	 -2.025423e-03 	 -1.461812e-19 	 4.222499e-03 	 -2.029810e-20 	 -4.693799e-03 	 -1.247324e-19 	 -1.489622e-04 	 -2.375245e-20 
59 	 2.613557e-04 	 -4.953784e-20 	 4.155361e-03 	 -2.079369e-20 	 -4.323108e-03 	 5.319681e-20 	 -2.197104e-04 	 -2.244823e-20 
60 	 3.610796e-03 	 -9.765049e-20 	 4.146285e-03 	 -2.207463e-20 	 -1.666575e-03 	 1.015803e-19 	 -2.438248e-04 	 -2.038108e-20 
61 	 2.817882e-03 	 -1.655387e-19 	 4.124508e-03 	 -2.442650e-20 	 -5.346437e-03 	 -5.994743e-20 	 -3.274742e-04 	 -2.102971e-20 
