#Beta=5.440000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
55 	 -8.406373e-03 	 2.204356e-18 	 1.460515e-02 	 1.304656e-19 	 6.443851e-02 	 -2.887943e-18 	 3.443444e-02 	 2.606755e-19 
56 	 -2.465379e-02 	 -2.852562e-18 	 1.390410e-02 	 7.719721e-20 	 6.772518e-02 	 5.786511e-18 	 3.502892e-02 	 3.593511e-19 
57 	 -3.875542e-02 	 3.674667e-18 	 1.298025e-02 	 1.403107e-19 	 4.999148e-02 	 -3.101354e-18 	 3.529142e-02 	 2.986370e-19 
58 	 -5.093535e-02 	 -2.312654e-18 	 1.187825e-02 	 9.801821e-20 	 5.108307e-02 	 5.121182e-18 	 3.556369e-02 	 3.817843e-19 
59 	 -4.162237e-02 	 -1.782573e-18 	 1.097146e-02 	 6.614379e-20 	 8.684228e-03 	 3.823486e-18 	 3.510810e-02 	 4.401182e-19 
60 	 -2.033724e-02 	 -2.203501e-18 	 1.044965e-02 	 2.831637e-20 	 2.008102e-02 	 -2.948428e-18 	 3.485765e-02 	 3.836425e-19 
61 	 -2.144699e-02 	 6.726030e-18 	 9.926754e-03 	 1.381149e-19 	 4.262207e-02 	 -6.576155e-18 	 3.498494e-02 	 2.695474e-19 
62 	 -6.809875e-03 	 5.848886e-18 	 9.656809e-03 	 2.302242e-19 	 6.758343e-02 	 -5.507931e-18 	 3.551072e-02 	 1.763623e-19 
63 	 -3.073956e-03 	 1.994031e-18 	 9.454733e-03 	 2.582211e-19 	 3.865286e-02 	 5.814871e-18 	 3.556059e-02 	 2.658624e-19 
64 	 -2.598732e-02 	 -4.204641e-18 	 8.900951e-03 	 1.884889e-19 	 7.478301e-02 	 -2.928350e-18 	 3.617344e-02 	 2.159529e-19 
65 	 -5.004238e-02 	 -3.633097e-18 	 7.994131e-03 	 1.296952e-19 	 8.593801e-02 	 2.498015e-18 	 3.693905e-02 	 2.510615e-19 
66 	 -2.389584e-02 	 -2.758353e-18 	 7.510949e-03 	 8.593693e-20 	 3.037612e-02 	 1.578116e-18 	 3.683961e-02 	 2.711684e-19 
67 	 -3.706414e-02 	 2.895004e-18 	 6.845649e-03 	 1.278633e-19 	 3.515532e-02 	 -3.425025e-18 	 3.681448e-02 	 2.160014e-19 
68 	 -1.895340e-02 	 -2.436352e-18 	 6.466252e-03 	 9.015427e-20 	 3.585299e-02 	 2.228638e-18 	 3.680034e-02 	 2.455990e-19 
69 	 -1.326600e-02 	 -6.528433e-19 	 6.180277e-03 	 7.938619e-20 	 5.021415e-02 	 -2.072867e-18 	 3.699474e-02 	 2.119980e-19 
70 	 -1.331509e-02 	 -9.558871e-19 	 5.901772e-03 	 6.459657e-20 	 5.002919e-02 	 1.752459e-18 	 3.718095e-02 	 2.340046e-19 
71 	 -4.517065e-02 	 -1.480105e-18 	 5.182442e-03 	 4.284021e-20 	 1.351974e-02 	 1.725187e-18 	 3.684769e-02 	 2.550071e-19 
72 	 -2.967099e-02 	 -1.153300e-18 	 4.698366e-03 	 2.622715e-20 	 4.572841e-03 	 -2.123564e-18 	 3.639943e-02 	 2.219714e-19 
73 	 -7.840881e-03 	 3.521315e-18 	 4.526596e-03 	 7.410506e-20 	 -6.708913e-03 	 2.079727e-18 	 3.580890e-02 	 2.474201e-19 
74 	 -3.289277e-02 	 -1.075422e-18 	 4.020929e-03 	 5.857092e-20 	 2.101378e-03 	 -8.613384e-19 	 3.535340e-02 	 2.324369e-19 
75 	 -4.979311e-02 	 1.482589e-18 	 3.303408e-03 	 7.755782e-20 	 2.056738e-02 	 1.709961e-19 	 3.515625e-02 	 2.316177e-19 
76 	 -4.349475e-02 	 6.346627e-18 	 2.687643e-03 	 1.600456e-19 	 6.757030e-03 	 3.779984e-18 	 3.478257e-02 	 2.783067e-19 
77 	 -4.521915e-02 	 -2.468379e-18 	 2.065477e-03 	 1.259102e-19 	 2.059252e-02 	 -7.425446e-19 	 3.459829e-02 	 2.650489e-19 
78 	 -2.975921e-02 	 -7.366812e-18 	 1.657468e-03 	 2.984964e-20 	 5.442029e-03 	 1.663782e-18 	 3.422449e-02 	 2.829814e-19 
79 	 -2.453660e-02 	 -3.966824e-18 	 1.325898e-03 	 -2.074116e-20 	 6.690586e-03 	 -3.759237e-18 	 3.387596e-02 	 2.318141e-19 
80 	 -3.490087e-02 	 2.579793e-18 	 8.730630e-04 	 1.176551e-20 	 -3.217370e-03 	 -5.843314e-18 	 3.341229e-02 	 1.558750e-19 
81 	 -1.653454e-02 	 -4.581827e-18 	 6.581543e-04 	 -4.494551e-20 	 -1.748855e-02 	 -4.266536e-19 	 3.278389e-02 	 1.486833e-19 
82 	 2.415937e-04 	 1.397168e-18 	 6.530743e-04 	 -2.735876e-20 	 -1.873672e-02 	 1.476389e-18 	 3.215559e-02 	 1.648748e-19 
83 	 -1.141423e-02 	 -6.065898e-18 	 5.076851e-04 	 -1.001123e-19 	 -3.212963e-02 	 2.501027e-18 	 3.138107e-02 	 1.930212e-19 
84 	 -3.383377e-02 	 2.094524e-18 	 9.885822e-05 	 -7.398563e-20 	 -5.424710e-02 	 4.410427e-18 	 3.036168e-02 	 2.432284e-19 
85 	 -4.275212e-02 	 6.119944e-19 	 -4.052709e-04 	 -6.591527e-20 	 -4.188887e-02 	 4.142723e-18 	 2.951168e-02 	 2.891048e-19 
