#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
107 	 4.788732e-03 	 -9.859705e-19 	 8.398242e-03 	 1.805665e-18 
108 	 1.233733e-02 	 3.173453e-18 	 1.764162e-02 	 2.398630e-18 
109 	 3.028168e-02 	 -4.256363e-18 	 3.212030e-02 	 -3.875019e-18 
110 	 3.028168e-02 	 -4.256363e-18 	 3.212030e-02 	 -3.875019e-18 
111 	 3.028168e-02 	 -4.256363e-18 	 3.212030e-02 	 -3.875019e-18 
112 	 -3.952539e-03 	 3.633960e-18 	 4.408489e-02 	 -5.532108e-18 
113 	 1.316870e-02 	 -3.259618e-18 	 -1.295480e-02 	 1.690552e-18 
114 	 -1.022555e-03 	 -7.727398e-19 	 -9.839738e-03 	 -4.872217e-19 
115 	 -1.001301e-02 	 1.750535e-18 	 -2.166018e-02 	 -1.600871e-18 
116 	 -4.649338e-02 	 7.188695e-19 	 3.220305e-02 	 1.713307e-18 
117 	 -6.026232e-02 	 4.236001e-19 	 4.584674e-02 	 1.310412e-18 
118 	 -4.920330e-02 	 -2.162473e-18 	 -1.134328e-02 	 1.799976e-18 
119 	 -1.982595e-02 	 1.919183e-18 	 4.238992e-03 	 -4.684824e-20 
120 	 2.988743e-03 	 2.148457e-18 	 -1.550276e-02 	 -3.317525e-18 
121 	 7.093699e-03 	 -2.164546e-18 	 1.203052e-02 	 -1.523070e-18 
122 	 -1.106694e-03 	 5.675623e-18 	 -2.903262e-02 	 -7.094162e-19 
1233663e-03 	 -3.919023e-18 
124 	 2.389749e-02 	 1.605676e-18 	 4.072205e-02 	 -1.670809e-18 
125 	 -1.590377e-02 	 1.928276e-18 	 5.649774e-02 	 3.747190e-18 
126 	 -6.209370e-02 	 -2.619740e-18 	 9.109650e-02 	 -2.737276e-18 
127 	 -1.725538e-02 	 -3.631335e-18 	 6.360160e-02 	 -2.839338e-18 
128 	 -5.685682e-02 	 -9.219235e-19 	 3.483503e-02 	 2.220941e-18 
129 	 -4.689326e-02 	 -1.217678e-18 	 7.253212e-02 	 2.773416e-18 
130 	 -7.876923e-02 	 -1.115061e-18 	 8.385045e-02 	 -4.176186e-19 
131 	 -4.658517e-03 	 -7.915575e-19 	 5.656143e-02 	 2.098132e-18 
132 	 -7.864685e-03 	 1.512330e-18 	 2.635979e-02 	 -5.953073e-19 
133 	 3.094221e-02 	 -2.194401e-18 	 3.551720e-02 	 4.859501e-18 
134 	 4.902914e-02 	 -3.050348e-18 	 5.398311e-02 	 2.409338e-20 
135 	 6.207266e-02 	 4.586997e-19 	 3.970994e-02 	 -4.229727e-19 
136 	 2.581184e-02 	 7.150893e-20 	 9.853642e-03 	 1.663782e-18 
137 	 2.797512e-02 	 -7.219727e-19 	 5.457667e-02 	 -9.182255e-19 
138 	 1.507112e-02 	 1.612227e-18 	 5.414890e-02 	 -9.100271e-19 
139 	 9.743372e-03 	 -4.653406e-18 	 4.608191e-02 	 4.129171e-18 
140 	 -3.448046e-02 	 -1.434816e-18 	 2.069627e-02 	 4.082490e-19 
141 	 9.811902e-04 	 2.333908e-18 	 5.954747e-02 	 -5.079688e-19 
142 	 -2.459302e-02 	 -3.699894e-18 	 -7.738732e-04 	 1.392731e-18 
143 	 4.047119e-02 	 -3.627843e-18 	 -1.507190e-02 	 1.940856e-19 
144 	 7.899680e-02 	 -3.493394e-18 	 5.615273e-02 	 2.543190e-20 
145 	 6.132212e-02 	 1.366703e-19 	 4.980028e-02 	 -4.577743e-19 
146 	 1.558536e-02 	 -4.389821e-18 	 4.451958e-02 	 -1.302381e-18 
147 	 4.552206e-02 	 -3.054652e-19 	 4.051246e-02 	 -2.208560e-18 
148 	 4.552206e-02 	 -3.054652e-19 	 4.051246e-02 	 -2.208560e-18 
149 	 4.302802e-02 	 -1.937508e-18 	 2.746754e-02 	 3.105369e-18 
150 	 3.513821e-02 	 5.714952e-18 	 9.881877e-03 	 2.770739e-18 
151 	 4.755697e-02 	 -2.880209e-18 	 1.193502e-02 	 1.626303e-18 
152 	 4.755697e-02 	 -2.880209e-18 	 1.193502e-02 	 1.626303e-18 
153 	 2.864506e-02 	 4.222266e-18 	 2.258644e-02 	 -1.206677e-18 
154 	 -2.471043e-02 	 -2.328062e-18 	 4.946135e-02 	 -4.062412e-18 
155 	 -1.253931e-03 	 2.397357e-18 	 4.386771e-02 	 -2.358474e-18 
156 	 -2.040569e-02 	 -2.315438e-18 	 6.344801e-02 	 -3.084622e-18 
157 	 -1.226741e-02 	 -1.685240e-18 	 9.860157e-03 	 -2.053961e-18 
158 	 -2.222991e-02 	 -5.505400e-19 	 3.299152e-02 	 -1.885307e-18 
159 	 -1.301024e-02 	 1.059575e-18 	 1.034384e-02 	 -2.312295e-19 
160 	 -5.754398e-02 	 1.673047e-18 	 -2.974585e-02 	 -1.638015e-18 
161 	 -3.695886e-02 	 5.994431e-19 	 -3.169959e-02 	 2.395618e-18 
162 	 -3.259234e-02 	 7.051079e-19 	 -2.763325e-02 	 2.379891e-18 
163 	 3.124313e-02 	 -1.282544e-18 	 -1.914410e-02 	 -2.673027e-18 
164 	 5.609349e-02 	 -7.599049e-19 	 -4.631886e-02 	 -4.872217e-18 
165 	 6.354959e-02 	 -3.703593e-19 	 -5.421508e-02 	 7.642956e-19 
166 	 5.864283e-02 	 1.154744e-18 	 -4.871833e-02 	 -1.337852e-18 
167 	 6.188884e-02 	 1.987160e-18 	 -5.012981e-02 	 -1.359268e-18 
168 	 6.022716e-02 	 -2.012801e-18 	 -6.791905e-02 	 8.285446e-19 
169 	 4.733026e-02 	 2.845267e-18 	 -6.977870e-02 	 -2.337727e-18 
170 	 4.733026e-02 	 2.845267e-18 	 -6.977870e-02 	 -2.337727e-18 
171 	 5.419268e-02 	 -4.445187e-18 	 -5.093190e-02 	 3.503579e-19 
